"Title:","Net income from the Income Database"
"SubTitle:","State"
"Time:","2000/1 - 2022/2"
"Unit of Measure:","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$"
"Citation:","Federal Deposit Insurance Corporation  (2022-11-06). Income: Net income | California, Louisiana, Massachusetts, New York, Texas | All Banks | Savings Association, State or Federal Charter - Supervised by OTS | Commercial Bank, State Charter and Fed Member - Supervised by FRB, 2000/1 - 2022/2. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  011-008-012 doi:https://doi.org/10.6068/DP1845E09630C68"
"ColumnCount:",16
"RowCount:",90

"Time","California, All Banks ($)","California, Savings Association, State or Federal Charter - Supervised by OTS ($)","California, Commercial Bank, State Charter and Fed Member - Supervised by FRB ($)","Louisiana, All Banks ($)","Louisiana, Savings Association, State or Federal Charter - Supervised by OTS ($)","Louisiana, Commercial Bank, State Charter and Fed Member - Supervised by FRB ($)","Massachusetts, All Banks ($)","Massachusetts, Savings Association, State or Federal Charter - Supervised by OTS ($)","Massachusetts, Commercial Bank, State Charter and Fed Member - Supervised by FRB ($)","New York, All Banks ($)","New York, Savings Association, State or Federal Charter - Supervised by OTS ($)","New York, Commercial Bank, State Charter and Fed Member - Supervised by FRB ($)","Texas, All Banks ($)","Texas, Savings Association, State or Federal Charter - Supervised by OTS ($)","Texas, Commercial Bank, State Charter and Fed Member - Supervised by FRB ($)"
"2008/4",-1017371000,-483244000,-90926000,-551103000,27854000,50836000,1990621000,45084000,1817719000,525156000,139949000,1328435000,1746808000,-134035000,130182000
"2009/1",34464000,313643000,-50049000,155656000,9448000,10105000,566907000,15012000,472901000,561213000,236808000,345583000,-1874124000,-1660831000,34380000
"2009/2",-914457000,454938000,-153457000,324355000,18371000,21084000,-2533841000,26705000,-2708570000,1005160000,460839000,584503000,-1589662000,-1727802000,66141000
"2009/3",-1625925000,493523000,-246511000,455686000,27735000,62770000,-2092399000,44424000,-2385671000,-933883000,773466000,-1737041000,1111393000,394655000,90553000
"2009/4",-994792000,-183411000,-21737000,528729000,33865000,183855000,-1353548000,57095000,-1729723000,-438172000,313825000,-1395791000,1372474000,425407000,92926000
"2010/1",283910000,31914000,14226000,363147000,7981000,18209000,647148000,19321000,494260000,929079000,102472000,567328000,579876000,124823000,22613000
"2010/2",652678000,69311000,-20987000,619857000,17835000,30696000,1442068000,32975000,1134525000,2046144000,131130000,1335594000,1208895000,209327000,60818000
"2010/3",1358775000,102991000,73610000,889240000,26338000,48118000,2149177000,51393000,1669911000,3179765000,174090000,1978917000,1913186000,346736000,93406000
"2010/4",1945863000,133877000,188921000,1020337000,37234000,65639000,2542837000,71908000,1895734000,4279668000,254051000,2637464000,2510763000,489256000,124366000
"2011/1",906011000,41747000,151384000,471100000,8048000,19871000,606592000,20888000,436843000,1267524000,85236000,728938000,658793000,139708000,33181000
"2011/2",1873662000,81987000,315202000,866391000,15551000,30988000,1267071000,43159000,919104000,2715221000,165836000,1561401000,1408610000,298281000,81257000
"2011/3",2789761000,108854000,462294000,1404345000,24206000,53652000,1993328000,65745000,1450982000,4080789000,236816000,2322589000,2360870000,575162000,130575000
"2011/4",3590496000,137879000,577029000,1625068000,33926000,74558000,2511969000,89378000,1787821000,5662118000,319630000,3342958000,3042982000,726692000,175945000
"2012/1",985035000,46481000,155724000,380896000,8997000,25631000,601856000,24423000,406021000,1270134000,77470000,640994000,930046000,231713000,61016000
"2012/2",2102193000,80704000,382011000,417770000,18896000,45332000,1233174000,44056000,846036000,2381357000,161912000,1054535000,1804729000,456937000,125382000
"2012/3",3164687000,142697000,558147000,1189081000,30485000,71345000,2063493000,74453000,1464280000,3875510000,135721000,1941370000,2697405000,693499000,201341000
"2012/4",4051782000,198731000,729314000,1945740000,42076000,98592000,2757728000,99801000,1964448000,5473039000,256010000,2819743000,3399008000,844601000,149245000
"2013/1",994146000,51826000,160820000,567694000,9681000,3007000,591132000,28359000,385126000,612674000,69079000,-81429000,926608000,233330000,69970000
"2013/2",2029159000,101557000,324794000,1177605000,19759000,21517000,1333251000,54970000,918309000,2417751000,140640000,865163000,1920501000,512256000,147903000
"2013/3",3230946000,144575000,489257000,1831287000,30395000,46722000,2045466000,82097000,1412811000,691795000,203642000,1967378000,2871410000,733054000,220458000
"2013/4",4335957000,202206000,644277000,2277268000,40590000,72997000,2784825000,109587000,1943666000,1980717000,257434000,2690116000,3705024000,858249000,290071000
"2014/1",1015084000,50000000,167688000,538361000,9509000,24285000,563427000,28715000,353779000,1519999000,85543000,807364000,923893000,200713000,59707000
"2014/2",2160026000,106984000,364543000,1118767000,16942000,43262000,1323839000,47512000,920230000,3052584000,168120000,1413559000,1951072000,435515000,136062000
"2014/3",3400915000,171849000,548559000,1613191000,26741000,73309000,2038419000,74608000,1420278000,4088596000,250121000,2681161000,2981024000,656266000,199125000
"2014/4",4607206000,215333000,740428000,2159929000,36697000,108666000,2735514000,104314000,1909675000,5580130000,336774000,3457107000,3957099000,835127000,262234000
"2015/1",1119709000,67067000,219242000,605260000,9498000,26980000,604038000,29105000,387227000,1576004000,84403000,792841000,1020997000,230417000,66926000
"2015/2",2112002000,142454000,447092000,1055384000,19594000,58190000,1336773000,59880000,888468000,3887077000,152856000,2289415000,2075482000,456478000,144347000
"2015/3",2719777000,218000000,669009000,1688895000,27927000,102729000,2159054000,92241000,1478902000,5572004000,242889000,3188209000,3139129000,689309000,222814000
"2015/4",4166598000,310061000,919636000,2067001000,36735000,148768000,2878636000,122574000,1981594000,6682919000,354200000,3949422000,3961326000,788745000,283800000
"2016/1",1185800000,95493000,254942000,527839000,9906000,44642000,581245000,32258000,345833000,1844281000,127868000,963637000,1010931000,225979000,59625000
"2016/2",2603972000,196055000,513889000,1084529000,20768000,96509000,1470399000,62263000,990348000,3691848000,234810000,1953862000,2042391000,439848000,123697000
"2016/3",3897493000,305208000,748992000,1598453000,32830000,145327000,2344152000,94244000,1589092000,5442192000,340485000,3007797000,3151816000,692747000,201189000
"2016/4",5456548000,418711000,1035663000,1336884000,43689000,191466000,3292430000,128734000,2284964000,7374008000,441369000,4054156000,3925048000,853928000,268834000
"2017/1",1449809000,106196000,334351000,682743000,11191000,50024000,808838000,30785000,496995000,1967935000,104822000,1046104000,1093752000,219426000,59520000
"2017/2",3057250000,206911000,652491000,1349203000,22690000,102840000,1692169000,64731000,1086219000,4029755000,224290000,2266996000,2301111000,482552000,150392000
"2017/3",4606381000,310717000,1008069000,2012654000,34048000,142065000,2702024000,101134000,1767261000,6098746000,327853000,3360633000,3557199000,778208000,225743000
"2017/4",4962780000,399747000,1237885000,1753778000,41478000,160648000,3324603000,125420000,2256744000,7871264000,284498000,4062352000,4492934000,866308000,254761000
"2018/1",1909558000,115966000,484010000,922328000,14331000,64086000,1050102000,37365000,692044000,2385617000,176849000,1318203000,1351700000,310470000,63435000
"2018/2",3965060000,223436000,986804000,2275253000,28817000,140353000,2184231000,81135000,1445295000,5098439000,362154000,2780579000,2834945000,686953000,136779000
"2018/3",5928429000,338279000,1514772000,3122164000,44611000,242497000,3368759000,117882000,2229697000,7870531000,548856000,4244927000,4289514000,990476000,211958000
"2018/4",7996998000,450640000,2081440000,3833434000,62505000,375547000,4220012000,150522000,2751506000,10402217000,731898000,5585244000,5593940000,1242012000,274787000
"2019/1",2011069000,119781000,544988000,953468000,14309000,101334000,899271000,37284000,520581000,2639392000,166090000,1364992000,1360518000,246980000,71886000
"2019/2",4051659000,230359000,1085854000,2051935000,27199000,204119000,1911503000,69142000,1144340000,5406870000,334694000,2787625000,2841859000,539607000,167986000
"2019/3",4330174000,314673000,1613520000,2907752000,41368000,305026000,2905013000,104091000,1720856000,8082916000,530930000,4120650000,4469036000,934008000,273941000
"2019/4",6313822000,431934000,2130335000,3509695000,54791000,390244000,3981843000,136961000,2389556000,10609818000,701582000,5307448000,5437386000,754207000,354729000
"2020/1",-624914000,99378000,380918000,-292487000,7589000,40019000,768703000,5618000,723552000,1674925000,83332000,1132743000,1059529000,127864000,76258000
"2020/2",425262000,174899000,620868000,-527519000,17079000,31845000,1299620000,33962000,1395320000,3478885000,209251000,1989705000,2080194000,22126000,216162000
"2020/3",2105380000,301449000,1181487000,799833000,32088000,409000,2294179000,72991000,1920232000,5698361000,384113000,3037762000,3318865000,-101472000,410030000
"2020/4",4135110000,425039000,1730553000,1885061000,49383000,563000,3355732000,118184000,2460996000,7998721000,547402000,3950432000,4417592000,-317648000,561503000
"2021/1",2449839000,125001000,641257000,1549001000,18692000,120000,1042467000,13972000,544556000,2746122000,193558000,1124452000,1533472000,-37034000,171739000
"2021/2",4861942000,271758000,1357529000,3217046000,35814000,230000,2322488000,96372000,1299288000,5678425000,400036000,2295683000,2992231000,-75460000,325950000
"2021/3",6949645000,414236000,2052362000,4632954000,59549000,345000,3451373000,167492000,1995662000,8451739000,607897000,3395345000,4481269000,-156963000,481390000
"2021/4",9495427000,549772000,2880833000,5796746000,77131000,453000,4498095000,235073000,2681211000,11350003000,847593000,4479649000,5716998000,-342356000,605952000
"2022/1",2418524000,171895000,911476000,1140923000,10961000,93000,971400000,63514000,590729000,2344376000,83474000,854661000,1468500000,58857000,91363000
"2022/2",4980830000,326042000,1840977000,2008204000,27557000,202000,2075010000,131453000,1338194000,4694462000,182390000,1717933000,3172138000,261503000,191610000



"Publisher:", "Federal Deposit Insurance Corporation "
"Copyright:", "The data contained in Data Planet(tm): A SAGE Publishing Resource is made available via license agreement with subscribing organizations. Your organization's license may vary from this version."
