"Title:","Net income from the Income Database"
"SubTitle:","State"
"Time:","2000/1 - 2022/2"
"Unit of Measure:","$","$","$","$","$","$","$","$","$","$"
"Citation:","Federal Deposit Insurance Corporation  (2022-11-06). Income: Net income | California, Louisiana, Massachusetts, New York, Texas | All Banks | Savings Association, State or Federal Charter - Supervised by OTS, 2000/1 - 2022/2. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  011-008-012 doi:https://doi.org/10.6068/DP1845DFBF17D67"
"ColumnCount:",11
"RowCount:",90

"Time","California, All Banks ($)","California, Savings Association, State or Federal Charter - Supervised by OTS ($)","Louisiana, All Banks ($)","Louisiana, Savings Association, State or Federal Charter - Supervised by OTS ($)","Massachusetts, All Banks ($)","Massachusetts, Savings Association, State or Federal Charter - Supervised by OTS ($)","New York, All Banks ($)","New York, Savings Association, State or Federal Charter - Supervised by OTS ($)","Texas, All Banks ($)","Texas, Savings Association, State or Federal Charter - Supervised by OTS ($)"
"2013/3",3230946000,144575000,1831287000,30395000,2045466000,82097000,691795000,203642000,2871410000,733054000
"2013/4",4335957000,202206000,2277268000,40590000,2784825000,109587000,1980717000,257434000,3705024000,858249000
"2014/1",1015084000,50000000,538361000,9509000,563427000,28715000,1519999000,85543000,923893000,200713000
"2014/2",2160026000,106984000,1118767000,16942000,1323839000,47512000,3052584000,168120000,1951072000,435515000
"2014/3",3400915000,171849000,1613191000,26741000,2038419000,74608000,4088596000,250121000,2981024000,656266000
"2014/4",4607206000,215333000,2159929000,36697000,2735514000,104314000,5580130000,336774000,3957099000,835127000
"2015/1",1119709000,67067000,605260000,9498000,604038000,29105000,1576004000,84403000,1020997000,230417000
"2015/2",2112002000,142454000,1055384000,19594000,1336773000,59880000,3887077000,152856000,2075482000,456478000
"2015/3",2719777000,218000000,1688895000,27927000,2159054000,92241000,5572004000,242889000,3139129000,689309000
"2015/4",4166598000,310061000,2067001000,36735000,2878636000,122574000,6682919000,354200000,3961326000,788745000
"2016/1",1185800000,95493000,527839000,9906000,581245000,32258000,1844281000,127868000,1010931000,225979000
"2016/2",2603972000,196055000,1084529000,20768000,1470399000,62263000,3691848000,234810000,2042391000,439848000
"2016/3",3897493000,305208000,1598453000,32830000,2344152000,94244000,5442192000,340485000,3151816000,692747000
"2016/4",5456548000,418711000,1336884000,43689000,3292430000,128734000,7374008000,441369000,3925048000,853928000
"2017/1",1449809000,106196000,682743000,11191000,808838000,30785000,1967935000,104822000,1093752000,219426000
"2017/2",3057250000,206911000,1349203000,22690000,1692169000,64731000,4029755000,224290000,2301111000,482552000
"2017/3",4606381000,310717000,2012654000,34048000,2702024000,101134000,6098746000,327853000,3557199000,778208000
"2017/4",4962780000,399747000,1753778000,41478000,3324603000,125420000,7871264000,284498000,4492934000,866308000
"2018/1",1909558000,115966000,922328000,14331000,1050102000,37365000,2385617000,176849000,1351700000,310470000
"2018/2",3965060000,223436000,2275253000,28817000,2184231000,81135000,5098439000,362154000,2834945000,686953000
"2018/3",5928429000,338279000,3122164000,44611000,3368759000,117882000,7870531000,548856000,4289514000,990476000
"2018/4",7996998000,450640000,3833434000,62505000,4220012000,150522000,10402217000,731898000,5593940000,1242012000
"2019/1",2011069000,119781000,953468000,14309000,899271000,37284000,2639392000,166090000,1360518000,246980000
"2019/2",4051659000,230359000,2051935000,27199000,1911503000,69142000,5406870000,334694000,2841859000,539607000
