"Title:","Vehicles in Fatal Crashes, by Vehicle Make / Model Year from the Fatal Traffic Accidents: Vehicles Involved Database"
"SubTitle:","USA - Type: All Types - Model: All Models - Vehicle Year: All Vehicle Years"
"Time:","01/1975 - 12/2020"
"Unit of Measure:","#","#","#","#","#","#","#"
"Citation:","National Highway Traffic Safety Administration (2022-05-06). Fatal Traffic Accidents: Vehicles Involved: Vehicles in Fatal Crashes, by Vehicle Make / Model Year | All Types | All Makes | Chevrolet | Ford | Honda | Jaguar | Mercedes-Benz | Toyota | All Models | All Vehicle Years, 01/1975 - 12/2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  023-004-006 doi:https://doi.org/10.6068/DP1845DD3949452"
"ColumnCount:",8
"RowCount:",552

"Time","All Types, All Makes, All Models, All Vehicle Years, #","All Types, Chevrolet, All Models, All Vehicle Years, #","All Types, Ford, All Models, All Vehicle Years, #","All Types, Honda, All Models, All Vehicle Years, #","All Types, Jaguar, All Models, All Vehicle Years, #","All Types, Mercedes-Benz, All Models, All Vehicle Years, #","All Types, Toyota, All Models, All Vehicle Years, #"
"12/1984",9984,2016,1780,360,,18,380
"01/1985",8092,1654,1438,176,2,24,330
"02/1985",7320,1552,1334,220,4,16,322
"03/1985",8614,1796,1398,374,8,28,346
"04/1985",9220,1886,1574,494,,18,338
"05/1985",10412,2020,1762,590,10,22,426
"06/1985",10958,2208,1762,622,2,32,378
"07/1985",10780,2118,1700,692,10,34,390
"08/1985",11314,2172,1892,590,2,30,462
"09/1985",10068,2070,1882,488,8,24,388
"10/1985",10240,2108,1824,428,,30,422
"11/1985",10158,2076,1864,308,,16,428
"12/1985",9366,1916,1754,238,,20,338
"01/1986",8254,1776,1444,226,2,20,368
"02/1986",7296,1544,1306,218,2,26,316
"03/1986",8990,1798,1566,356,4,20,412
"04/1986",9142,1914,1646,406,2,42,384
"05/1986",10806,2090,1900,540,2,26,452
"06/1986",11232,2144,1944,602,10,26,402
"07/1986",11542,2180,1906,704,,22,448
"08/1986",12368,2426,2050,636,6,34,482
"09/1986",10596,2086,1748,488,4,18,436
"10/1986",10922,2190,1908,386,2,42,500
"11/1986",10300,2106,1786,384,6,20,446
"12/1986",10136,2042,1810,314,2,26,430
"01/1987",8314,1712,1474,238,2,32,352
"02/1987",7734,1624,1420,244,2,28,300
"03/1987",8892,1824,1470,338,6,26,450
"04/1987",9278,1904,1520,412,2,32,416
"05/1987",10670,2024,1774,584,6,32,478
"06/1987",11024,2144,1822,574,2,28,390
"07/1987",11324,2090,1932,612,2,40,510
"08/1987",12316,2456,2168,596,14,28,488
"09/1987",10970,2204,1912,514,2,26,506
"10/1987",11780,2390,2120,486,6,20,514
"11/1987",10692,2268,1988,350,,48,458
"12/1987",10678,2170,1960,338,8,28,496
"01/1988",8550,1728,1544,214,6,36,386
"02/1988",8082,1664,1378,274,,22,410
"03/1988",9260,1804,1740,348,8,34,432
"04/1988",9808,2012,1734,428,12,36,420
"05/1988",10644,2022,1928,510,4,28,488
"06/1988",11136,2178,1984,542,2,38,472
"07/1988",11648,2296,2062,524,4,48,494
"08/1988",11734,2318,1950,600,2,42,572
"09/1988",11228,2340,2004,506,4,18,478
"10/1988",11568,2242,2176,436,,44,520
"11/1988",10454,2198,1918,342,8,44,482
"12/1988",11294,2278,1984,308,8,44,578
"01/1989",9020,1754,1622,288,6,18,432
"02/1989",7982,1618,1446,238,6,32,428
"03/1989",9470,1870,1640,358,4,24,492
"04/1989",9576,1848,1784,402,,22,444
"05/1989",10170,2014,1824,490,2,16,530
"06/1989",10364,2010,1844,446,8,28,490
"07/1989",11218,2158,1914,576,4,34,514
"08/1989",11042,2152,1946,500,2,38,538
"09/1989",10886,2242,1978,464,,28,524
"10/1989",11154,2202,1964,416,6,44,542
"11/1989",9886,1922,1858,346,4,18,498
"12/1989",10972,2118,2074,360,8,34,542
"01/1990",8770,1762,1666,248,4,30,490
"02/1990",7910,1480,1436,250,,22,384
"03/1990",9364,1876,1704,368,10,28,502
"04/1990",9296,1810,1650,408,2,24,422
"05/1990",10112,1942,1812,428,10,30,476
"06/1990",10726,2034,1840,530,8,30,544
"07/1990",11324,2302,2058,574,6,36,590
"08/1990",11130,2164,1964,544,8,26,532
"09/1990",10544,1928,1836,514,6,28,470
"10/1990",10176,1926,1892,390,,32,610
"11/1990",9656,1858,1772,372,2,32,486
"12/1990",9576,1858,1764,330,14,32,576
"01/1991",7338,1386,1426,192,4,22,374
"02/1991",7294,1434,1378,188,10,26,422
"03/1991",8494,1706,1474,282,2,30,508
"04/1991",8142,1686,1498,354,2,18,420
"05/1991",9586,1826,1764,482,,24,506
"06/1991",10136,2008,1834,540,4,18,462
"07/1991",10310,1964,1818,486,6,22,548
"08/1991",10732,2066,1912,498,6,26,554
"09/1991",9620,1924,1702,412,4,30,476
"10/1991",9762,1964,1784,358,2,24,492
"11/1991",9472,1814,1764,316,10,28,530
"12/1991",8704,1684,1726,278,,24,476
"01/1992",7598,1526,1370,216,2,36,428
"02/1992",7178,1450,1314,238,2,16,368
"03/1992",7432,1578,1282,286,2,38,384
"04/1992",7762,1536,1354,314,,16,382
"05/1992",9096,1790,1512,410,12,28,424
"06/1992",9510,1872,1668,436,4,12,454
"07/1992",9340,1726,1736,382,2,24,474
"08/1992",9832,1922,1818,424,8,36,492
"09/1992",8694,1806,1602,368,4,30,422
"10/1992",10104,2060,1766,402,4,22,512
"11/1992",8796,1710,1646,362,10,18,474
"12/1992",9112,1702,1776,312,6,28,518
"01/1993",7498,1502,1374,240,4,18,368
"02/1993",6994,1322,1234,234,4,26,390
"03/1993",7946,1496,1410,260,,24,400
"04/1993",8102,1500,1458,334,2,26,416
"05/1993",9308,1826,1674,398,,36,508
"06/1993",9070,1708,1614,404,2,32,522
"07/1993",10202,1938,1820,492,6,28,498
"08/1993",10268,1958,1734,486,2,24,564
"09/1993",9548,1820,1706,420,4,22,474
"10/1993",10300,1900,1918,392,10,38,568
"11/1993",9292,1722,1794,332,,16,456
"12/1993",9026,1764,1764,260,,24,520
"01/1994",7634,1524,1476,254,4,20,420
"02/1994",7102,1344,1340,264,2,26,422
